Diag Code,
3,Intestinal infectious diseases
5,Intestinal infectious diseases
7,Intestinal infectious diseases
8,Intestinal infectious diseases
9,Intestinal infectious diseases
10,Tuberculosis
11,Tuberculosis
14,Tuberculosis
17,Tuberculosis
23,Zoonoitc bacterial diseases
27,Zoonoitc bacterial diseases
31,Other Bacterial diseases
34,Other Bacterial diseases
35,Other Bacterial diseases
36,Other Bacterial diseases
38,Other Bacterial diseases
39,Other Bacterial diseases
40,Other Bacterial diseases
41,Other Bacterial diseases
42,HIV
46,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system
47,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system
48,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system
49,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system
52,Viral diseases accompanied by exanthem 
53,Viral diseases accompanied by exanthem 
54,Viral diseases accompanied by exanthem 
57,Viral diseases accompanied by exanthem 
58,Viral diseases accompanied by exanthem 
61,Arthropod-borne viral diseases
66,Arthropod-borne viral diseases
70,Other diseases due to viruses and Chlamydiota
75,Other diseases due to viruses and Chlamydiota
78,Other diseases due to viruses and Chlamydiota
79,Other diseases due to viruses and Chlamydiota
82,Rickettsioses and other arthropod-borne diseases
84,Rickettsioses and other arthropod-borne diseases
88,Rickettsioses and other arthropod-borne diseases
94,Syphilis and other venereal diseases
96,Syphilis and other venereal diseases
97,Syphilis and other venereal diseases
98,Syphilis and other venereal diseases
99,Syphilis and other venereal diseases
110,Mycoses
111,Mycoses
112,Mycoses
114,Mycoses
115,Mycoses
117,Mycoses
122,Helminthiases
123,Helminthiases
130,Other infectious and parasitic diseases
131,Other infectious and parasitic diseases
132,Other infectious and parasitic diseases
133,Other infectious and parasitic diseases
135,Other infectious and parasitic diseases
136,Other infectious and parasitic diseases
137,Late effects of infectious and parasitic diseases
138,Late effects of infectious and parasitic diseases
139,Late effects of infectious and parasitic diseases
140,"Malignant neoplasm of lip, oral cavity, and pharynx "
141,"Malignant neoplasm of lip, oral cavity, and pharynx "
142,"Malignant neoplasm of lip, oral cavity, and pharynx "
143,"Malignant neoplasm of lip, oral cavity, and pharynx "
145,"Malignant neoplasm of lip, oral cavity, and pharynx "
146,"Malignant neoplasm of lip, oral cavity, and pharynx "
147,"Malignant neoplasm of lip, oral cavity, and pharynx "
148,"Malignant neoplasm of lip, oral cavity, and pharynx "
149,"Malignant neoplasm of lip, oral cavity, and pharynx "
150,Malignant neoplasm of digestive organs and peritoneum
151,Malignant neoplasm of digestive organs and peritoneum
152,Malignant neoplasm of digestive organs and peritoneum
153,Malignant neoplasm of digestive organs and peritoneum
154,Malignant neoplasm of digestive organs and peritoneum
155,Malignant neoplasm of digestive organs and peritoneum
156,Malignant neoplasm of digestive organs and peritoneum
157,Malignant neoplasm of digestive organs and peritoneum
158,Malignant neoplasm of digestive organs and peritoneum
160,Malignant neoplasm of respiratory and intrathoracic organs
161,Malignant neoplasm of respiratory and intrathoracic organs
162,Malignant neoplasm of respiratory and intrathoracic organs
163,Malignant neoplasm of respiratory and intrathoracic organs
164,Malignant neoplasm of respiratory and intrathoracic organs
170,"Malignant neoplasm of bone, connective tissue, skin, and breast"
171,"Malignant neoplasm of bone, connective tissue, skin, and breast"
172,"Malignant neoplasm of bone, connective tissue, skin, and breast"
173,"Malignant neoplasm of bone, connective tissue, skin, and breast"
174,"Malignant neoplasm of bone, connective tissue, skin, and breast"
175,"Malignant neoplasm of bone, connective tissue, skin, and breast"
179,Malignant neoplasm of genitourinary organ
180,Malignant neoplasm of genitourinary organ
182,Malignant neoplasm of genitourinary organ
183,Malignant neoplasm of genitourinary organ
184,Malignant neoplasm of genitourinary organ
185,Malignant neoplasm of genitourinary organ
186,Malignant neoplasm of genitourinary organ
187,Malignant neoplasm of genitourinary organ
188,Malignant neoplasm of genitourinary organ
189,Malignant neoplasm of genitourinary organ
191,Malignant neoplasm of other and unspecified sites
192,Malignant neoplasm of other and unspecified sites
193,Malignant neoplasm of other and unspecified sites
194,Malignant neoplasm of other and unspecified sites
195,Malignant neoplasm of other and unspecified sites
196,Malignant neoplasm of other and unspecified sites
197,Malignant neoplasm of other and unspecified sites
198,Malignant neoplasm of other and unspecified sites
199,Malignant neoplasm of other and unspecified sites
200,Malignant neoplasm of lymphatic and hematopoietic tissue
201,Malignant neoplasm of lymphatic and hematopoietic tissue
202,Malignant neoplasm of lymphatic and hematopoietic tissue
203,Malignant neoplasm of lymphatic and hematopoietic tissue
204,Malignant neoplasm of lymphatic and hematopoietic tissue
205,Malignant neoplasm of lymphatic and hematopoietic tissue
207,Malignant neoplasm of lymphatic and hematopoietic tissue
208,Malignant neoplasm of lymphatic and hematopoietic tissue
210,Benign neoplasms 
211,Benign neoplasms 
212,Benign neoplasms 
214,Benign neoplasms 
215,Benign neoplasms 
216,Benign neoplasms 
217,Benign neoplasms 
218,Benign neoplasms 
219,Benign neoplasms 
220,Benign neoplasms 
223,Benign neoplasms 
